;;;;;;;;;;;;;;;;
NO;MATA KULIAH ;CPMK;SUB CPMK 1;SUB CPMK 2;SUB CPMK 3;SUB CPMK 4 ;SUB CPMK 5;SUB CPMK 6;SUB CPMK 7;SUB CPMK 8;SUB CPMK 9;SUB CPMK 10;SUB CPMK 11;SUB CPMK 12;SUB CPMK 13;SUB CPMK 14
;;3). Mahasiswa mampu menjelaskan pengertian Metode Pembuktian, Induksi Matematika , Definisi Rekursi dan Algoritma Rekursi ;;;Mahasiswa mampu menjelaskan pengertian Sistem Aljabar satu operasi, Semi group dan Monoid, Group abel, Subgroup dan Subgroup Normal, dan Group Kuosien;;;;;;;;;;;
;;4). Mahasiswa mampu memahami pengertian Prinsip Rumah Merpati, permutasi dan kombinasi, kombinasi pada himpunan dengan pengulangan, Himpunan, Operasi himpunan, dan anggota, perhitungan anggota menggunakan prinsip inklusi-eksklusi;;;Mahasiswa mampu menjelaskan pengertian Metode Pembuktian, Induksi Matematika , Definisi Rekursi dan Algoritma Rekursi;Mahasiswa mampu menjelaskan pengertian Metode Pembuktian, Induksi Matematika , Definisi Rekursi dan Algoritma Rekursi;;;;;;;;;;
;;5). Mahasiswa mampu memahami definisi dari fungsi numerik, membuat pemodelan masalah menggunakan fungsi numerik dan memanipulasi fungsi numerik : penjumlahan, selisih, manipulasi S1 dan S1 , backward difference dan forward difference;;;;Mahasiswa mampu menjelaskan pengertian Metode Pembuktian, Induksi Matematika , Definisi Rekursi dan Algoritma Rekursi;;;;;;;;;;
;;6).  Mahasiswa mampu memahami definisi dari relasi rekursi, memberikan sebuah contoh bentuk dari relasi rekursi, menyebutkan jenis-jenis relasi rekursi, dan menjelaskan barisan Fibonacci sebagai salah satu contoh relasi rekursi.;;;;;Mahasiswa mampu memahami pengertian Prinsip Rumah Merpati, permutasi dan kombinasi, kombinasi pada himpunan dengan pengulangan, Himpunan, Operasi himpunan, dan anggota, perhitungan anggota menggunakan prinsip inklusi-eksklusi.;;;;;;;;;
;;7). Mahasiswa mampu memahami definisi dari fungsi pembangkit, membuat fungsi pembangkit dari sebuah fungsi numerik, mengetahui hubungan antara fungsi pembangkit dengan fungsi numerik, menyelesaikan relasi rekursif dengan menggunakan fungsi pembangkit.;;;;;;Mahasiswa mampu memahami pengertian Prinsip Rumah Merpati, permutasi dan kombinasi, kombinasi pada himpunan dengan pengulangan, Himpunan, Operasi himpunan, dan anggota, perhitungan anggota menggunakan prinsip inklusi-eksklusi.;Mahasiswa mampu memahami definisi dari fungsi numerik, membuat pemodelan masalah menggunakan fungsi numerik dan memanipulasi fungsi numerik : penjumlahan, selisih, manipulasi S1 dan S1 , backward difference dan forward difference.;;;;;;;
24;JARINGAN KOMPUTER;1).  Menguasai pengetahuan tentang OSI layer, TCP/IP, Topologi, Model Komunikasi, Media Transmisi, Data Rate, Bandwidth, Teknik Pengkodean, Pendeteksian dan koreksi Kesalahan, Frame Header, Medium Access Control;1). Menunjukkan ruang lingkup mata kuliah, 2). Mendiskusikan, mencotohkan dan menceritakan defenisi jaringan komputer, pengguna jaringan komputer, businnes applcation, home application dan mobile users;;;;;;;;;;;;;
;;2). Menguasai pengetahuan tentang disain dan pengalamatan peralatan jaringan, IPv4 dan IPv6, IP subnetting;;"Membedakan, membandingkan dan memberi contoh struktur jaringan termasuk didalamnya mengenai topologi jaringan seperti Mesh, Star, Tree Bus, Ring dan 3-D Torus
Menggambarkan disain jaringan sesuai dengan kebutuhan pengguna berdasarkan hasil survei teknis
Mengenali,  mencatat dan menggambarkan  peralatan jaringan yang dibutuhkan sesuai dengan kebutuhan pengguna
Membedakan tipe jaringan seperti LAN, MAN dan WAN
Menerangkan fungsi protokol dalam jaringan komputer";;;;;;;;;;;;
;;3). Menguasai pengetahuan tentang cellular network beserta teknologinya;;;;;;;;;;;;;;
;;4). Menguasai konfigurasi pada switch, router, VLAN, access point, wireless router, instalasi windows server 2008, DHCP server dan DNS server;;;"Menerangkan dan membedakan model referensi OSI Layer  berdasarkan fungsi, peralatan dan  protokol pada setiap layernya  Menerangkan dan membedakan model referensi TCP/IP  berdasarkan fungsi, peralatan dan protokol pada setiap layernya.
- Membedakan dan memberi contoh servis connection oriented dan connectionless oriented.";;;;;;;;;;;
25;PRAKTIKUM JARINGAN KOMPUTER ;1).  Menguasai pengetahuan tentang OSI layer, TCP/IP, Topologi, Model Komunikasi, Media Transmisi, Data Rate, Bandwidth, Teknik Pengkodean, Pendeteksian dan koreksi Kesalahan, Frame Header, Medium Access Control;1). Menunjukkan ruang lingkup mata kuliah, 2). Mendiskusikan, mencotohkan dan menceritakan defenisi jaringan komputer, pengguna jaringan komputer, businnes applcation, home application dan mobile users;;;Menerangkan pengertian dan membedakan penggunaan phsycal layer berdasarkan kabel dan nirkable, Menggolongkan media transmisi berdasarkan kabel dan nirkabel, Mengenali karakteristik dari media transmisi kabel dan nirkabel, Menerangkan pengertian data rate dan bandwitch serta mencotohkan penggunaan data rate dan bandwiwidth;;;;;;;;;;
;;2). Menguasai pengetahuan tentang disain dan pengalamatan peralatan jaringan, IPv4 dan IPv6, IP subnetting;;"Membedakan, membandingkan dan memberi contoh struktur jaringan termasuk didalamnya mengenai topologi jaringan seperti Mesh, Star, Tree Bus, Ring dan 3-D Torus
Menggambarkan disain jaringan sesuai dengan kebutuhan pengguna berdasarkan hasil survei teknis
Mengenali,  mencatat dan menggambarkan  peralatan jaringan yang dibutuhkan sesuai dengan kebutuhan pengguna
Membedakan tipe jaringan seperti LAN, MAN dan WAN
Menerangkan fungsi protokol dalam jaringan komputer";;;;;;;;;;;;
;;3). Menguasai pengetahuan tentang cellular network beserta teknologinya;;;"Menerangkan dan membedakan model referensi OSI Layer  berdasarkan fungsi, peralatan dan  protokol pada setiap layernya  Menerangkan dan membedakan model referensi TCP/IP  berdasarkan fungsi, peralatan dan protokol pada setiap layernya.
- Membedakan dan memberi contoh servis connection oriented dan connectionless oriented.";;;;;;;;;;;
;;4). Menguasai konfigurasi pada switch, router, VLAN, access point, wireless router, instalasi windows server 2008, DHCP server dan DNS server;;;;Menerangkan pengertian dan membedakan penggunaan phsycal layer berdasarkan kabel dan nirkable, Menggolongkan media transmisi berdasarkan kabel dan nirkabel, Mengenali karakteristik dari media transmisi kabel dan nirkabel, Menerangkan pengertian data rate dan bandwitch serta mencotohkan penggunaan data rate dan bandwiwidth;;;;;;;;;;
26;PEMODELAN DAN METODE NUMERIK;1). Mahasiswa dapat memahami dan menjelaskan tentang Metode Analitik, Metode Numerik, Dan Metode Chaotic;Mahasiswa dapat memahami dan menjelaskan tentang perbedaan antara Metode Analitik, Metode Numerik, Dan Metode Chaotic;;;;;;;;;;;;;
;;2). Mahasiswa dapat memahami dan menjelaskan tentang Persamaan Non Linear, Iterasi, Nilai Error, dan Metode Penyelesaian Numerik;;Mahasiswa dapat memahami dan menjelaskan tentang Persamaan Non Linear, Iterasi, Nilai Error, dan Metode Penyelesaian Numerik;;;;;;;;;;;;
;;3). Mahasiswa dapat memahami dan menjelaskan tentang Jenis-jenis Penyelesaian Numerik untuk persamaan Non Linear (Biseksi, Regula falsi, Newton Raphson, dan Secant);;;Mahasiswa dapat memahami dan menjelaskan tentang Metode BIseksi;Mahasiswa dapat memahami dan menjelaskan tentang Metode Regula Falsi;Mahasiswa dapat memahami dan menjelaskan tentang Metode Newton Raphson;Mahasiswa dapat memahami dan menjelaskan tentang Metode Secant;;;;;;;;
;;"4). ""Mahasiswa dapat memahami dan mengimplementasikan Metode Numerik ke dalam Bahasa Pemrograman
""";;;;;;;Mahasiswa dapat memahami dan mengimplementasikan Metode BIseksi ke dalam Bahasa Pemrograman;Mahasiswa dapat memahami dan mengimplementasikan Metode BIseksi ke dalam Bahasa Pemrograman;Mahasiswa dapat memahami dan mengimplementasikan Metode Newton Raphson ke dalam Bahasa Pemrograman;Mahasiswa dapat memahami dan mengimplementasikan Metode Secant ke dalam Bahasa Pemrograman;;;;
27;REKAYASA PERANGKAT LUNAK SKALABILITAS;1). Mahasiswa mampu memahami Penjelasan dasar mengenai pengertian Rekayasa Perangkat Lunak;Mahasiswa mampu memahami apa yang dimaksud dengan RPL dan bagaimana arti pentingnya mengetahui jawaban terhadap pertanyaan pertanyaan kunci yang memberikan pemahaman awal mengenail rekayasa perangkat lunak memahami isu etika dan profesi yg penting u para perekayasa perangkat lunak ;;;;;;;;;;;;;
;;2). Mahasiswa mampu memahami dan mengetahui Rekayasa perangkat lunak;;Mahasiswa mampu mengetahui sistem komputer dan perangkat lunak, dan dapat mengenal rekayasa perangkat perangkat lunak dan aplikasinya;;;;;;;;;;;;
;;3).  Mahasiswa mampu mengetahui  dan memahami cara kerja manajemen proyek perangkat lunak;;;Mahasiswa mampu menjelaskan masing-masing tahapan dalam proyek perangkat lunak, mahasiswa mampu memahami mekanisme dari kegiatan manajemen proyek, serta dapat menjelaskan peran dari seorang manajer proyek dalam menentukan keberhasilan pencapaian suatu proyek serta mampu menerapkan tool-tool dalam sebuah contoh proyek  ;;;;;;;;;;;
;;4). Mahasiswa mampu mengetahui  dan memahami cara kerja  model proses perangkat lunak;;;;Mahasiswa mampu memahami konsep proses perangkat lunak dan model proses perangkat lunak, memahami model proses perangkat lunak, memahami berbagai model proses dan kapan model2 tsbt digunakan, mengetahui teknologi CASE sebagai penunjang proses PL;;;;;;;;;;
;;5). Mahasiswa mampu mengetahui  dan memahami software development life cycle;;;;;Mahasiswa mampu memahami fase-fase yang ada dalam pengembangan perangkat lunak dan mampu memahami tahapan tahapan SDLC;;;;;;;;;
;;6). Mahasiswa mampu mengetahui  dan memahami Persyaratan perangkat lunak;;;;;;Mahasiswa mampu memahami konsep persyaratan user, persyaratan sistem., memahami perbedaan antara persyaratan fungsional dan fungsional , memahami dua teknik u/mendiskripsikan persyaratan sistem dan mengetahui bagaimana persyaratan dapat diorganisasikan.;;;;;;;;
;;7). Mahasiswa mampu mengetahui  dan memahami  desain perangkat lunak;;;;;;;Mahasiswa mampu memahami kegiatan-kegiatan rekayasa persyaratan dan hubungan-hubungannya  mengetahui beberapa teknik elistasi dan analisis persyaratan, memahami arti penting validasi persyaratan, dan memahami mengapa manajemen persyaratan diperlukan dan bagaimana manajemen tersebut mendukung kegiatan persyaratan lain;;;;;;;
;;8). Mahasiswa mampu  memahami dan mengaplikasikan cara kerja perangkat lunak analisis dan tools desain;;;;;;;;Mahasiswa mampu memahami teknik dasar dalam melakukan perancangan perangkat lunak dan mampu memahami spesifikasi masing-masing teknik dalam membangun perangkat luna;;;;;;
;;9). Mahasiswa mampu  memahami dan mengaplikasikan strategi perancangan perangkat lunak ;;;;;;;;;Mahasiswa mampu memahami teknik dasar dalam melakukan perancangan perangkat lunak dan mampu memahami spesifikasi masing-masing teknik dalam membangun perangkat luna;;;;;
;;10). Mahasiswa mampu  mengetahui memahami pengujian perangkat lunak ;;;;;;;;;;Mahasiswa mampu memahami berbagai tool yang dapat digunakan sebagai alat bantu analisis dan desain perangkat lunak dan mampu memahami aktifitas dalam kegiatan analisis dan perancangan perangkat lunak;;;;
;;11). Mahasiwa mampu mengetahui memahami  pemeliharaan perangkat lunak;;;;;;;;;;;Mahasiswa mampu memahami Konsep pemeliharaan perangkat lunak dan memhami bentuk-bentuk pemeliharaan perangkat lunak;;;
28;SISTEM BASIS DATA RELASIONAL;1). Memahami konsep dasar sistem basis data relasional.;Menjelaskan konsep dasar basis data dan model relasional.;;;;;;;;;;;;;
;;2). Merancang skema basis data menggunakan model relasional.;;Merancang tabel, kunci primer, kunci asing, dan normalisasi;;;;;;;;;;;;
;;3). Mengimplementasikan operasi basis data dengan bahasa SQL.;;;Mengimplementasikan operasi CRUD (Create, Read, Update, Delete) dengan SQL.;;;;;;;;;;;
;;4). Mengevaluasi performa dan integritas basis data relasional.;;;;Menerapkan query lanjutan menggunakan join, subquery, dan view;Menganalisis performa basis data dan menjaga integritas data.;;;;;;;;;
29;PRAKTIKUMSISTEM BASIS DATA RELASIONAL;1). Memahami konsep dasar sistem basis data relasional.;Menjelaskan konsep dasar basis data dan model relasional.;;;;;;;;;;;;;
;;2). Merancang skema basis data menggunakan model relasional.;;Merancang tabel, kunci primer, kunci asing, dan normalisasi;;;;;;;;;;;;
;;3). Mengimplementasikan operasi basis data dengan bahasa SQL.;;;Mengimplementasikan operasi CRUD (Create, Read, Update, Delete) dengan SQL.;;;;;;;;;;;
;;4). Mengevaluasi performa dan integritas basis data relasional.;;;;Menerapkan query lanjutan menggunakan join, subquery, dan view;Menganalisis performa basis data dan menjaga integritas data.;;;;;;;;;
30;SISTEM OPERASI;1).Mahasiswa mampu menjelaskan tentang konsep dasar sistem komputer;Mahasiswa mampu menjelaskan tentang konsep dasar sistem komputer;;;;;;;;;;;;;
;;2). Mahasiswa mampu menjelaskan  system operasi dan struktur system komputer;;Mahasiswa mampu menjelaskan  system operasi dan struktur system komputer;;;;;;;;;;;;
;;3). Mahasiswa mampu menjelaskan perkembangan system operasi windows dan system operasi linux;;;Mahasiswa mampu menjelaskan perkembangan system operasi windows dan perkembangan system operasi linux ;Mahasiswa mampu menjelaskan inti (kernel) system operasi,system operasi windows, dan system operasi linux;Mahasiswa mampu menjelaskan hirarki direktori system operasi dan manajemen file;;;;;;;;;
;;4). Mahasiswa mampu menjelaskan struktur system operasi open source (linux) dan close source (windows), hirarki dan manajemen file pada system operasi ;;;;Mahasiswa mampu menjelaskan inti (kernel) system operasi,system operasi windows, dan system operasi linux;Mahasiswa mampu menjelaskan hirarki direktori system operasi dan manajemen file;Mahasiswa mampu menjelaskan manajemen system operasi windows dan manajemen system operasi linux;;;;;;;;
31;STATISTIKA;1). Mahasiswa mampu menjelaskan Data dan Statistika;Mahasiswa mampu menjelaskan konsep dasar, ruang lingkup dan tujuan statistika;;;;;;;;;;;;;
;;2). Mahasiswa mampu menjelaskan metode pengumpulan dan penyajian data;;Mahasiswa mampu membedakan jenis-jenis data, pengumpulan data dengan metode yang tepat;Mahasiswa mampu menghitung statistika deskriptif dan membuat tabel dan grafik untuk menjelaskan data;;;;;;;;;;;
;;3). Mahasiswa mampu menjelaskan mengenai ukuran pemusatan dan penyebaran data;;;;Mahasiswa mampu menghitung ukuran pemusatan data seperti mean, median, dan modus, serta ;Mahasiswa mampu menghitung ukuran penyebaran data seperti rentang, simpangan kuartil, dan simpangan baku;Mahasiswa mampu memahami konsep dasar statistika inferensial, dan menggunakan teknik-teknik statistika inferensial seperti uji hipotesis, regresi, korelasi, dan analisis varians;;;;;;;;
;;4). Mahasiswa mampu memahami konsep dasar statistika inferensial, dan menggunakan teknik-teknik statistika inferensial seperti uji hipotesis, regresi, korelasi, dan analisis varians;;;;;;;Mahasiswa mampu memahami konsep dasar dan melakukan uji hipotesis untuk sampel data yang diberikan;Mahasiswa mampu memahami konsep dasar melakukan analisis regresi dan korelasi;Mahasiswa mampu memahami konsep dasar analisis varians;Mahasiswa mampu menerapkan teknik-teknik statistika dalam berbagai bidang seperti ilmu sosial dan ekonomi;;;;
32;STRATEGI DAN SIMULASI ALGORITMA (Alpro 3);1). Memahami prinsip dasar strategi algoritma seperti divide and conquer, greedy, dynamic programming, dan backtracking. ;Menjelaskan konsep dasar strategi algoritma dan simulasi;;;;;;;;;;;;;
;;2). Merancang dan mengimplementasikan algoritma berbasis strategi yang sesuai untuk permasalahan tertentu.;;Mengimplementasikan algoritma berbasis **Divide and Conquer;;;;;;;;;;;;
;;3). Melakukan simulasi algoritma menggunakan bahasa pemrograman;;;Menggunakan strategi **Greedy** untuk menyelesaikan masalah optimasi.  ;;;;;;;;;;;
;;4). Mengevaluasi performa algoritma berdasarkan kompleksitas waktu dan ruang.  ;;;;Merancang dan mengimplementasikan algoritma **Dynamic Programming**.;Menyelesaikan permasalahan menggunakan teknik **Backtracking;Mengevaluasi performa algoritma menggunakan analisis kompleksitas.  ;;;;;;;;
33;PRAKTIKUM STRATEGI DAN SIMULASI ALGORITMA (Alpro 3);1). Memahami prinsip dasar strategi algoritma seperti divide and conquer, greedy, dynamic programming, dan backtracking. ;Menjelaskan konsep dasar strategi algoritma dan simulasi;;;;;;;;;;;;;
;;2). Merancang dan mengimplementasikan algoritma berbasis strategi yang sesuai untuk permasalahan tertentu.;;Mengimplementasikan algoritma berbasis **Divide and Conquer;;;;;;;;;;;;
;;3). Melakukan simulasi algoritma menggunakan bahasa pemrograman;;;Menggunakan strategi **Greedy** untuk menyelesaikan masalah optimasi.  ;;;;;;;;;;;
;;4). Mengevaluasi performa algoritma berdasarkan kompleksitas waktu dan ruang.  ;;;;Merancang dan mengimplementasikan algoritma **Dynamic Programming**.;Menyelesaikan permasalahan menggunakan teknik **Backtracking;Mengevaluasi performa algoritma menggunakan analisis kompleksitas.  ;;;;;;;;
34;PENGANTAR KOMPUTASI MODERN;1). Mahasiswa mampu mengingat dan memahami pengantar komputasi Modern;Mampu mengingat dan memahami pengantar komputasi Modern;;;;;;;;;;;;;
;;2). Mahasiswa Mampu mengingat dan memahami model OS;;Mampu mengingat dan memahami model OS;;;;;;;;;;;;
;;3). Mahasiswa mampu menjelaskan tentang pengetahuan flowchart serta menginterprestasikannya;;;Mampu mengingat dan memahami model OS;;;;;;;;;;;
;;4). Mahasiswa mampu mengingat dan memahami Teknologi Jaringan;;;;Mampu mengingat dan memahami Teknologi Jaringan;;;;;;;;;;
;;5). Mahasiswa mampu mengingat dan memahami WAN dan Teknologi Akses Jarak Jauh;;;;;Mampu mengingat dan memahami WAN dan Teknologi Akses Jarak Jauh;;;;;;;;;
;;6). Mahasiswa mampu mengingat, memahami dan menerapkan Konsep Dasar TCP / IP;;;;;;Mampu mengingat, memahami dan menerapkan Konsep Dasar TCP / IP;;;;;;;;
;;7). Mahasiswa mampu mengingat dan memahamiIPX, NetBIOS dan Protokol Apple Talk;;;;;;;Mampu mengingat dan memahamiIPX, NetBIOS dan Protokol Apple Talk;;;;;;;
;;8). Mahasiswa mampu memahami dan menerapkan tentang Layanan Jaringan;;;;;;;;Mampu memahami dan menerapkan tentang Layanan Jaringan;;;;;;
;; 9). Mahasiswa mampu mengingat dan memahami Keamanan Jaringan Komputer;;;;;;;;;Mampu mengingat dan memahami Keamanan Jaringan Komputer;;;;;
35;STRUKTUR DATA;1). Mahasiswa dapat memahami dan menjelaskan tentang Looping dan Jenis-jenisnya;Mahasiswa dapat memahami dan menjelaskan tentang Looping dan Jenis-jenisnya;;;;;;;;;;;;;
;;2). Mahasiswa dapat memahami dan menjelaskan tentang Tipe data Array;;Mahasiswa dapat memahami dan menjelaskan tentang Tipe data Array;;;;;;;;;;;;
;;3). Mahasiswa dapat memahami dan menjelaskan tentang Function, Class dan Object dalam Jav;;;Mahasiswa dapat memahami dan menjelaskan tentang Function, Class dan Object dalam Java;Mahasiswa dapat memahami dan menjelaskan tentang Stack ;Mahasiswa dapat memahami dan menjelaskan tentang Linked List;;;;;;;;;
36;PRAKTIKUM STRUKTUR DATA;1). Mahasiswa dapat memahami dan menjelaskan tentang Looping dan Jenis-jenisnya;Mahasiswa dapat memahami dan menjelaskan tentang Looping dan Jenis-jenisnya;;;;;;;;;;;;;
;;2). Mahasiswa dapat memahami dan menjelaskan tentang Tipe data Array;;Mahasiswa dapat memahami dan menjelaskan tentang Tipe data Array;;;;;;;;;;;;
;;3). Mahasiswa dapat memahami dan menjelaskan tentang Function, Class dan Object dalam Jav;;;Mahasiswa dapat memahami dan menjelaskan tentang Function, Class dan Object dalam Java;Mahasiswa dapat memahami dan menjelaskan tentang Stack ;Mahasiswa dapat memahami dan menjelaskan tentang Linked List;;;;;;;;;
37;AL ISLAM KEMUHAMMADIYAAN IV;1). Memahami Ilmu Pendidikan Islam;Mahasiswa mampu mengetahui ilmu dan tujuan pendidian islam;;;;;;;;;;;;;
;;2). Memahami Pendidikan dalam perspekti Islam;;Mahasiswa mampu mengetahui pendidikan dalam perspektif Al-quran dan Al-Hadits;;;;;;;;;;;;
;;3). Memahami Hakikat dan Metode pendidikan islam;;;Mahasiswa mampu memahami urgensi dan fungsi pendidikan islam;;;;;;;;;;;
;;4). Mengetahui peran pendidikan Muhammadiyah;;;;Mahasiswa mampu mengetahui kandunagn ayat-ayat Al-quran tentang subjek dan objek pendidikan;Mahasiswa mampu mengetahui hakikat pendidikan islam dan kelembagaan pendidikan islam;;;;;;;;;
38;INTERAKSI MANUSIA DAN KOMPUTER;1). Memahami prinsip dasar IMK dan elemen-elemen antarmuka pengguna.;Menjelaskan konsep dasar interaksi manusia dan komputer;;;;;;;;;;;;;
;;2). Mampu merancang prototipe antarmuka pengguna berbasis teori IMK. ;;Memahami teori desain antarmuka pengguna;;;;;;;;;;;;
;;3). Melakukan evaluasi antarmuka menggunakan metode evaluasi IMK. ;;; Merancang prototipe antarmuka sederhana. ;;;;;;;;;;;
;;4). Menganalisis hasil evaluasi untuk mengembangkan antarmuka yang lebih baik.;;;;Menggunakan metode evaluasi antarmuka (heuristic evaluation, usability testing).;Menganalisis hasil evaluasi untuk perbaikan antarmuka.;;;;;;;;;
39;KECERDASAN BUATAN;1). Mahasiswa mampu menjelaskan konsep dasar, sejarah, dan ruang lingkup AI.;Menjelaskan definisi dan sejarah AI, Menguraikan ruang lingkup, cabang, dan aplikasi AI, dan Membedakan AI simbolik, komputasional, dan machine learning.;;;;;;;;;;;;;
;;2). Mahasiswa mampu merepresentasikan pengetahuan dan logika untuk pemecahan masalah.;;Menjelaskan representasi pengetahuan dengan logika proposisional dan predikat, Mengimplementasikan inference sederhana dengan aturan logika dan Mengevaluasi kelebihan dan keterbatasan metode representasi pengetahuan.;;;;;;;;;;;;
;;3). Mahasiswa mampu menerapkan algoritma pencarian dalam pemecahan masalah;;;Menjelaskan konsep state space, node, dan graph search, Mengimplementasikan pencarian buta (BFS, DFS), Mengimplementasikan pencarian heuristik (Greedy, A*), Membandingkan kinerja berbagai algoritma pencarian;;;;;;;;;;;
;;4). Mahasiswa mampu menjelaskan dan mengimplementasikan dasar-dasar machine learning.;;;;Menjelaskan konsep supervised, unsupervised, dan reinforcement learning, Mengimplementasikan algoritma supervised (regresi, decision tree, naive bayes), Mengimplementasikan algoritma unsupervised (k-means clustering), Mengevaluasi performa model machine learning sederhana.;;;;;;;;;;
;;5). Mahasiswa mampu merancang aplikasi sederhana berbasis AI.;;;;;Mengidentifikasi permasalahan nyata yang dapat diselesaikan dengan AI, Mengembangkan prototipe aplikasi berbasis algoritma AI, Memaparkan hasil proyek dalam bentuk laporan dan presentasi.;;;;;;;;;
;;6). Mahasiswa mampu menunjukkan sikap etis, kerja sama, dan komunikasi dalam pengembangan sistem AI.;;;;;;Bekerja dalam tim untuk menyelesaikan proyek AI, Berkomunikasi efektif dalam presentasi hasil kerja, dan Menerapkan prinsip etika dan dampak sosial dari penerapan AI.;;;;;;;;
40;PRAKTIKUM KECERDASAN BUATAN;1). Mahasiswa mampu menjelaskan konsep dasar, sejarah, dan ruang lingkup AI.;Menjelaskan definisi dan sejarah AI, Menguraikan ruang lingkup, cabang, dan aplikasi AI, dan Membedakan AI simbolik, komputasional, dan machine learning.;;;;;;;;;;;;;
;;2). Mahasiswa mampu merepresentasikan pengetahuan dan logika untuk pemecahan masalah.;;Menjelaskan representasi pengetahuan dengan logika proposisional dan predikat, Mengimplementasikan inference sederhana dengan aturan logika dan Mengevaluasi kelebihan dan keterbatasan metode representasi pengetahuan.;;;;;;;;;;;;
;;3). Mahasiswa mampu menerapkan algoritma pencarian dalam pemecahan masalah;;;Menjelaskan konsep state space, node, dan graph search, Mengimplementasikan pencarian buta (BFS, DFS), Mengimplementasikan pencarian heuristik (Greedy, A*), Membandingkan kinerja berbagai algoritma pencarian;;;;;;;;;;;
;;4). Mahasiswa mampu menjelaskan dan mengimplementasikan dasar-dasar machine learning.;;;;Menjelaskan konsep supervised, unsupervised, dan reinforcement learning, Mengimplementasikan algoritma supervised (regresi, decision tree, naive bayes), Mengimplementasikan algoritma unsupervised (k-means clustering), Mengevaluasi performa model machine learning sederhana.;;;;;;;;;;
;;5). Mahasiswa mampu merancang aplikasi sederhana berbasis AI.;;;;;Mengidentifikasi permasalahan nyata yang dapat diselesaikan dengan AI, Mengembangkan prototipe aplikasi berbasis algoritma AI, Memaparkan hasil proyek dalam bentuk laporan dan presentasi.;;;;;;;;;
;;6). Mahasiswa mampu menunjukkan sikap etis, kerja sama, dan komunikasi dalam pengembangan sistem AI.;;;;;;Bekerja dalam tim untuk menyelesaikan proyek AI, Berkomunikasi efektif dalam presentasi hasil kerja, dan Menerapkan prinsip etika dan dampak sosial dari penerapan AI.;;;;;;;;
41;KRIPTOGRAFI;1). Mahasiswa mampu menjelaskan konsep dasar, tujuan, dan sejarah kriptografi.;Menjelaskan tujuan utama kriptografi (confidentiality, integrity, authentication, non-repudiation), Menguraikan sejarah perkembangan kriptografi klasik hingga modern, dan Menjelaskan terminologi dasar dalam kriptografi (plaintext, ciphertext, key).;;;;;;;;;;;;;
;;2). Mahasiswa mampu memahami dan menerapkan algoritma kriptografi klasik;;Menjelaskan metode substitusi (Caesar cipher, Vigenere cipher), Menjelaskan metode transposisi, dan Mengimplementasikan algoritma kriptografi klasik dalam program sederhana.;;;;;;;;;;;;
;;3). Mahasiswa mampu menjelaskan dan menerapkan algoritma kriptografi simetris;;;Menjelaskan konsep block cipher dan stream cipher, Menguraikan algoritma DES, 3DES, dan AES dan Mengimplementasikan algoritma simetris menggunakan bahasa pemrograman.;;;;;;;;;;;
;;4). Mahasiswa mampu menjelaskan dan menerapkan algoritma kriptografi asimetris;;;;Menjelaskan prinsip dasar public key cryptography, Menguraikan algoritma RSA, Diffie-Hellman, dan ECC, dan Mengimplementasikan enkripsi dan dekripsi menggunakan RSA/ECC.;;;;;;;;;;
;;5). Mahasiswa mampu menjelaskan dan menerapkan fungsi hash dan tanda tangan digital.;;;;;Menjelaskan konsep fungsi hash (MD5, SHA), konsep tanda tangan digital, dan Mengimplementasikan fungsi hash dan digital signature;;;;;;;;;
;;6). Mahasiswa mampu memahami penerapan kriptografi dalam keamanan sistem dan jaringan.;;;;;;Menjelaskan penggunaan kriptografi dalam protokol (SSL/TLS, IPsec), Mendesain skema enkripsi untuk aplikasi komunikasi aman, dan Mengevaluasi kekuatan dan kelemahan algoritma kriptografi;;;;;;;;
;;7). Mahasiswa mampu menunjukkan etika, kerja sama, dan komunikasi dalam penerapan kriptografi.;;;;;;;Bekerja dalam kelompok untuk menyelesaikan studi kasus keamanan data, Menyajikan laporan teknis dan presentasi proyek kriptografi dan Memahami aspek hukum dan etika penggunaan kriptografi.;;;;;;;
42;PEMOGRAMAN WEB;1). Memahami dasar-dasar HTML, CSS, dan JavaScript untuk pengembangan web. ;Menjelaskan konsep dasar pemrograman web.;;;;;;;;;;;;;
;;2). Mampu menggunakan framework front-end dan back-end dalam pengembangan aplikasi web.;;Membuat struktur halaman web menggunakan HTML.;;;;;;;;;;;;
;;3). Mengembangkan aplikasi web sederhana berbasis client-server. ;;; Menerapkan gaya desain menggunakan CSS.;;;;;;;;;;;
;;4). Mengevaluasi dan mengoptimalkan aplikasi web yang telah dibuat.;;;;Membuat elemen interaktif dengan JavaScript;Merancang proyek halaman web statis dan dinamis;;;;;;;;;
43;PRAKTIKUM PEMOGRAMAN WEB;1). Memahami dasar-dasar HTML, CSS, dan JavaScript untuk pengembangan web. ;Menjelaskan konsep dasar pemrograman web.;;;;;;;;;;;;;
;;2). Mampu menggunakan framework front-end dan back-end dalam pengembangan aplikasi web.;;Membuat struktur halaman web menggunakan HTML.;;;;;;;;;;;;
;;3). Mengembangkan aplikasi web sederhana berbasis client-server. ;;; Menerapkan gaya desain menggunakan CSS.;;;;;;;;;;;
